Type,Species,DBH
Tree,American beech,16.3
Tree,Sugar maple,16.3
Tree,Red oak,16.3
Tree,Red maple,16.5
Tree,Red maple,16.5
Tree,White oak,16.5
Tree,Sugar maple,16.6
Tree,Red spruce,16.6
Tree,Sugar maple,16.7
Tree,American beech,16.8
Tree,Sugar maple,16.8
Tree,Sugar maple,17
Tree,Red maple,17.1
Tree,American beech,17.3
Tree,White oak,17.3
Tree,American beech,17.5
Tree,Red maple,17.5
Tree,Red oak,17.5
Tree,White oak,17.7
Tree,Red maple,17.9
Tree,Unknown1,18
Tree,Sugar maple,18
Tree,American beech,18.3
Tree,Sugar maple,18.5
Tree,Sugar maple,18.5
Tree,White pine,18.7
Tree,Sugar maple,18.8
Tree,White pine,18.9
Tree,White pine,19
Tree,American beech,19.2
Tree,Red maple,19.5
Tree,Red maple,19.6
Tree,American beech,19.7
Tree,Red oak,19.8
Tree,Red oak,20
Tree,Red oak,20
Tree,Sugar maple,20.1
Tree,Red pine,20.2
Tree,American beech,20.5
Tree,Sugar maple,20.5
Tree,Choke cherry,21.4
Tree,Sugar maple,21.9
Tree,Big toothed aspen,22
Tree,Yellow birch,22
Tree,White oak,22
Tree,Unknown1,22.1
Tree,Red pine,22.1
Tree,Yellow birch,22.2
Tree,Sugar maple,22.5
Tree,White ash,22.5
Tree,White oak,22.8
Tree,Red maple,22.9
Tree,Sugar maple,23
Tree,Yellow birch,23.5
Tree,Black cherry,23.7
Tree,White ash,23.9
Tree,American beech,24
Tree,Big toothed aspen,24
Tree,Sugar maple,24.5
Tree,Gray birch,24.8
Tree,White pine,25
Tree,Red oak,25.4
Tree,Red maple,25.9
Tree,Red maple,25.9
Tree,Sugar maple,26.2
Tree,Black cherry,26.4
Tree,Red maple,26.6
Tree,White pine,26.8
Tree,Sugar maple,27
Tree,Sugar maple,27
Tree,Red oak,27.1
Tree,Red oak,27.3
Tree,White pine,27.3
Tree,Gray birch,27.6
Tree,Red pine,28
Tree,Sugar maple,28.4
Tree,Red maple,28.6
Tree,Sugar maple,28.7
Tree,Red maple,29
Tree,Yellow birch,29.5
Tree,Red pine,29.5
Tree,White pine,30
Tree,Red maple,30.3
Tree,Red oak,30.5
Tree,Red maple,31.4
Tree,Red maple,31.9
Tree,Red maple,32
Tree,Sugar maple,32
Tree,Yellow birch,32
Tree,Yellow birch,32
Tree,Red maple,32
Tree,Big toothed aspen,32.5
Tree,Red maple,32.7
Tree,Red pine,33
Tree,Red pine,33.2
Tree,Red oak,33.7
Tree,Red pine,34
Tree,Red pine,34
Tree,Quaking aspen,34.2
Tree,White oak,34.3
Tree,Red pine,34.4
Tree,Red pine,34.5
Tree,Black cherry,35
Tree,unknown,35
Tree,Sugar maple,35
Tree,Red pine,35.5
Tree,Red pine,35.9
Tree,Big toothed aspen,36
Tree,Red pine,36
Tree,Red pine,36
Tree,Sugar maple,36.2
Tree,Red oak,36.5
Tree,Red maple,36.6
Tree,Red pine,36.8
Tree,Red pine,36.8
Tree,Red oak,37.1
Tree,Red pine,37.7
Tree,Red pine,37.8
Tree,Red pine,37.8
Tree,Sugar maple,38
Tree,Red pine,38
Tree,Red pine,38
